subject,grade,chapter,chapter_title,section,section_title,missing_basicnote,missing_quiz,missing_question
Biology,Grade 9 ,2,Characteristics and Classification of Organisms,2.6.5,Kingdom Animalia ,True,False,True
Biology,Grade 9 ,3,Cells,3.7,The cell and its environment,False,True,False
Biology,Grade 9 ,3,Cells,3.7.1,Passive transport ,True,False,True
Biology,Grade 9 ,3,Cells,3.7.2,Active transport ,True,False,True
Biology,Grade 9 ,4,Reproduction,4. 6,Male reproductive structures ,True,True,True
Biology,Grade 9 ,4,Reproduction,4.10,Methods of birth control ,True,False,False
Biology,Grade 9 ,4,Reproduction,4.11,Sexually transmitted infections (STIs): Transmission and prevention,True,False,False
Biology,Grade 9 ,4,Reproduction,4.3,Types of asexual reproduction,False,True,False
Biology,Grade 9 ,4,Reproduction,4.3.1,Fission ,True,False,True
Biology,Grade 9 ,4,Reproduction,4.3.2,Fragmentation ,True,False,True
Biology,Grade 9 ,4,Reproduction,4.3.3,Budding ,True,False,True
Biology,Grade 9 ,4,Reproduction,4.3.4,Vegetative propagation ,True,False,True
Biology,Grade 9 ,5,"Human Health, Nutrition, and Disease",5.8,Infectious and noninfectious diseases ,False,True,True
Biology,Grade 9 ,5,"Human Health, Nutrition, and Disease",5.8. 1,Infectious diseases ,True,True,True
Biology,Grade 9 ,5,"Human Health, Nutrition, and Disease",5.8. 2,Non-infectious diseases ,True,True,True
Biology,Grade 9 ,5,"Human Health, Nutrition, and Disease",5.9,Renowned Nutritionists in Ethiopia,True,True,False
Biology,Grade 9 ,6,Ecology,6.1,Ecology,False,True,False
Biology,Grade 9 ,6,Ecology,6.1.1,Definitions of Ecological Terms ,True,False,False
Biology,Grade 9 ,6,Ecology,6.1.2,Biotic and abiotic components ,True,False,False
Biology,Grade 9 ,6,Ecology,6.1.3,Ecological levels ,True,False,False
Biology,Grade 9 ,6,Ecology,6.1.4,Ecosystems ,True,False,False
Biology,Grade 9 ,6,Ecology,6.1.5,Biomes ,True,False,False
Biology,Grade 9 ,6,Ecology,6.1.6,Ecological succession ,True,False,False
Biology,Grade 9 ,6,Ecology,6.2,Ecological relationships ,True,False,False
Chemistry,Grade 10 ,1,Chemical Reactions and Stoichiometry,1.5,"Molecular and Formula Masses, the Mole Concept and Chemical Formulas",False,True,False
Chemistry,Grade 10 ,1,Chemical Reactions and Stoichiometry,1.6,Stoichiometry,False,True,False
Chemistry,Grade 10 ,2,Solutions,2.2,The Solution Process,False,True,False
Chemistry,Grade 10 ,2,Solutions,2.4,Ways of Expressing Concentration of Solution,False,True,False
Chemistry,Grade 10 ,4,Energy Changes and Electrochemistry,4.1,Introduction,False,True,False
Chemistry,Grade 10 ,4,Energy Changes and Electrochemistry,4.2,Energy Changes in Electrochemistry,False,True,False
Chemistry,Grade 10 ,4,Energy Changes and Electrochemistry,4.3,Electrochemical Cells,False,True,False
Chemistry,Grade 10 ,5,Metals and Nonmetals,5.2,General Properties of Metals and Production of Some Metals,False,True,False
Chemistry,Grade 10 ,5,Metals and Nonmetals,5.3,Production of Some Important Nonmetals,False,True,False
Chemistry,Grade 10 ,6,Hydrocarbons and their Natural Sources,6.1,Introduction,False,True,False
Chemistry,Grade 10 ,6,Hydrocarbons and their Natural Sources,6.3,"Unsaturated Hydrocarbons: Alkenes, Alkynes, and Aromatic Hydrocarbons",False,True,False
Chemistry,Grade 11 ,1,ATOMIC STRUCTURE AND PERIODIC PROPERTIES OF THE ELEMENTS,1.2,Dalton's Atomic Theory and the Modern Atomic Theory,False,True,False
Chemistry,Grade 11 ,1,ATOMIC STRUCTURE AND PERIODIC PROPERTIES OF THE ELEMENTS,1.2.1,Postulates of Dalton's Atomic Theory,True,False,True
Chemistry,Grade 11 ,1,ATOMIC STRUCTURE AND PERIODIC PROPERTIES OF THE ELEMENTS,1.2.2,Postulates of Modern Atomic Theory.,True,False,True
Chemistry,Grade 11 ,1,ATOMIC STRUCTURE AND PERIODIC PROPERTIES OF THE ELEMENTS,1.3,Early Experiments to Characterize the Atom,False,True,False
Chemistry,Grade 11 ,1,ATOMIC STRUCTURE AND PERIODIC PROPERTIES OF THE ELEMENTS,1.3.1,The Discovery of the Electron,True,False,True
Chemistry,Grade 11 ,1,ATOMIC STRUCTURE AND PERIODIC PROPERTIES OF THE ELEMENTS,1.3.2,Radioactivity and the Discovery of the Nucleus,True,False,True
Chemistry,Grade 11 ,1,ATOMIC STRUCTURE AND PERIODIC PROPERTIES OF THE ELEMENTS,1.3.3,Discovery of the Neutron,True,False,True
Chemistry,Grade 11 ,1,ATOMIC STRUCTURE AND PERIODIC PROPERTIES OF THE ELEMENTS,1.4,Make- up of the Nucleus,False,True,False
Chemistry,Grade 11 ,1,ATOMIC STRUCTURE AND PERIODIC PROPERTIES OF THE ELEMENTS,1.4.1,Subatomic Particles,True,False,True
Chemistry,Grade 11 ,1,ATOMIC STRUCTURE AND PERIODIC PROPERTIES OF THE ELEMENTS,1.4.2,Atomic Mass and Isotopes,True,False,True
Chemistry,Grade 11 ,1,ATOMIC STRUCTURE AND PERIODIC PROPERTIES OF THE ELEMENTS,1.5,Electromagnetic Radiation and Atomic Spectra,False,True,False
Chemistry,Grade 11 ,1,ATOMIC STRUCTURE AND PERIODIC PROPERTIES OF THE ELEMENTS,1.5.1,Electromagnetic Radiation,True,False,True
Chemistry,Grade 11 ,1,ATOMIC STRUCTURE AND PERIODIC PROPERTIES OF THE ELEMENTS,1.5.2,The Quantum Theory and Photon,True,False,True
Chemistry,Grade 11 ,1,ATOMIC STRUCTURE AND PERIODIC PROPERTIES OF THE ELEMENTS,1.5.3,Atomic Spectra,True,False,True
Chemistry,Grade 11 ,1,ATOMIC STRUCTURE AND PERIODIC PROPERTIES OF THE ELEMENTS,1.5.4,The Bohr Model of the Hydrogen Atom.,True,False,True
Chemistry,Grade 11 ,1,ATOMIC STRUCTURE AND PERIODIC PROPERTIES OF THE ELEMENTS,1.5.5,Limitations of the Bohr Model,True,False,True
Chemistry,Grade 11 ,1,ATOMIC STRUCTURE AND PERIODIC PROPERTIES OF THE ELEMENTS,1.5.6,The Wave-Particle Duality of Matter and Energy,True,False,True
Chemistry,Grade 11 ,1,ATOMIC STRUCTURE AND PERIODIC PROPERTIES OF THE ELEMENTS,1.6,The Quantum Mechanical Model of the Atom,False,True,False
Chemistry,Grade 11 ,1,ATOMIC STRUCTURE AND PERIODIC PROPERTIES OF THE ELEMENTS,1.6.1,The Heisenberg's Principle,True,False,True
Chemistry,Grade 11 ,1,ATOMIC STRUCTURE AND PERIODIC PROPERTIES OF THE ELEMENTS,1.6.2,Quantum Numbers,True,False,True
Chemistry,Grade 11 ,1,ATOMIC STRUCTURE AND PERIODIC PROPERTIES OF THE ELEMENTS,1.6.3,Shapes of Atomic Orbitals.,True,False,True
Chemistry,Grade 11 ,1,ATOMIC STRUCTURE AND PERIODIC PROPERTIES OF THE ELEMENTS,1.7.1,Ground State Electronic Configuration of the Elements,True,True,True
Chemistry,Grade 11 ,1,ATOMIC STRUCTURE AND PERIODIC PROPERTIES OF THE ELEMENTS,1.8,Electronic Configurations and the Periodic Table of the Elements,False,True,False
Chemistry,Grade 11 ,1,ATOMIC STRUCTURE AND PERIODIC PROPERTIES OF THE ELEMENTS,1.8.1,The Modern Periodic Table,True,False,True
Chemistry,Grade 11 ,1,ATOMIC STRUCTURE AND PERIODIC PROPERTIES OF THE ELEMENTS,1.8.2,Classification of the Elements,True,False,True
Chemistry,Grade 11 ,1,ATOMIC STRUCTURE AND PERIODIC PROPERTIES OF THE ELEMENTS,1.8.3,Periodic Properties,True,False,True
Chemistry,Grade 11 ,1,ATOMIC STRUCTURE AND PERIODIC PROPERTIES OF THE ELEMENTS,1.8.4,Advantages of Periodic Classification of the Elements...,True,True,True
Chemistry,Grade 11 ,2,CHEMICAL BONDING,2.1.1,The Octet Rule,True,True,True
Chemistry,Grade 11 ,2,CHEMICAL BONDING,2.1.2,Types of Chemical Bonding,True,True,True
Chemistry,Grade 11 ,2,CHEMICAL BONDING,2.2.1,Lewis Electron-Dot Symbols,True,True,True
Chemistry,Grade 11 ,2,CHEMICAL BONDING,2.2.2,Formation of Ionic Bonds,True,True,True
Chemistry,Grade 11 ,2,CHEMICAL BONDING,2.2.3,Exceptions to the Octet Rule in Ionic Compounds,True,True,True
Chemistry,Grade 11 ,2,CHEMICAL BONDING,2.2.4,Properties of Ionic Compounds..,True,True,True
Chemistry,Grade 11 ,2,CHEMICAL BONDING,2.3.1,Molecular Geometry,True,True,True
Chemistry,Grade 11 ,2,CHEMICAL BONDING,2.3.2,Intermolecular Forces in Covalent Compounds.,True,True,True
Chemistry,Grade 11 ,2,CHEMICAL BONDING,2.4.1,Formation of Metallic Bonding.,True,True,True
Chemistry,Grade 11 ,2,CHEMICAL BONDING,2.4.2,Electron-Sea Model,True,True,True
Chemistry,Grade 11 ,2,CHEMICAL BONDING,2.4.3,Properties of Metals and Bonding,True,True,True
Chemistry,Grade 11 ,2,CHEMICAL BONDING,2.5.1,Valence Bond (VB) Theory,True,False,True
Chemistry,Grade 11 ,2,CHEMICAL BONDING,2.5.2,Molecular Orbital Theory (MOT),True,False,True
Chemistry,Grade 11 ,3,PHYSICAL STATES OF MATTER,3.2.1,The Kinetic Theory of Matter,True,True,True
Chemistry,Grade 11 ,3,PHYSICAL STATES OF MATTER,3.2.2,Properties of Matter...,True,True,True
Chemistry,Grade 11 ,3,PHYSICAL STATES OF MATTER,3.3.1,The Kinetic Molecular Theory of Gases,True,True,True
Chemistry,Grade 11 ,3,PHYSICAL STATES OF MATTER,3.3.2,The Gas Laws,True,True,True
Chemistry,Grade 11 ,3,PHYSICAL STATES OF MATTER,3.4.1,Energy Changes in Liquids,True,True,True
Chemistry,Grade 11 ,4,CHEMICAL KINETICS,4.3,Factors Affecting the Rate of a Chemical Reaction,False,False,True
Chemistry,Grade 11 ,5,CHEMICAL EQUILIBRIUM,5.1,Introduction,False,True,False
Chemistry,Grade 11 ,5,CHEMICAL EQUILIBRIUM,5.2,Chemical Equilibrium,False,True,False
Chemistry,Grade 11 ,5,CHEMICAL EQUILIBRIUM,5.2.1,Reversible and Irreversible Reactions,True,False,True
Chemistry,Grade 11 ,5,CHEMICAL EQUILIBRIUM,5.2.2,Attainment and Characteristics of Chemical Equilibria,True,False,True
Chemistry,Grade 11 ,5,CHEMICAL EQUILIBRIUM,5.2.3,Conditions for Attainment of Chemical Equilibria,True,False,True
Chemistry,Grade 11 ,5,CHEMICAL EQUILIBRIUM,5.2.4,Equilibrium Expression and Equilibrium Constant.,True,False,True
Chemistry,Grade 11 ,5,CHEMICAL EQUILIBRIUM,5.2.5,Applications of Equilibrium Constant,True,False,True
Chemistry,Grade 11 ,5,CHEMICAL EQUILIBRIUM,5.2.6,Changing Equilibrium Conditions: Le-Chatelier's Principle.,True,False,True
Chemistry,Grade 11 ,5,CHEMICAL EQUILIBRIUM,5.2.7,Equilibrium and Industry..,True,False,True
Chemistry,Grade 11 ,6,SOME IMPORTANT OXYGEN-CONTAINING ORGANIC COMPOUNDS,6.1,Introduction,False,False,True
Chemistry,Grade 11 ,6,SOME IMPORTANT OXYGEN-CONTAINING ORGANIC COMPOUNDS,6.2,Alcohols and Ethers,False,True,True
Chemistry,Grade 11 ,6,SOME IMPORTANT OXYGEN-CONTAINING ORGANIC COMPOUNDS,6.2.1,Classification of Alcohols,True,False,True
Chemistry,Grade 11 ,6,SOME IMPORTANT OXYGEN-CONTAINING ORGANIC COMPOUNDS,6.2.2,Nomenclature of Alcohols,True,False,True
Chemistry,Grade 11 ,6,SOME IMPORTANT OXYGEN-CONTAINING ORGANIC COMPOUNDS,6.2.3,Physical Properties of Alcohols,True,False,True
Chemistry,Grade 11 ,6,SOME IMPORTANT OXYGEN-CONTAINING ORGANIC COMPOUNDS,6.2.4,Preparation of Alcohols..,True,False,True
Chemistry,Grade 11 ,6,SOME IMPORTANT OXYGEN-CONTAINING ORGANIC COMPOUNDS,6.2.5,Chemical Properties of Alcohols,True,False,True
Chemistry,Grade 11 ,6,SOME IMPORTANT OXYGEN-CONTAINING ORGANIC COMPOUNDS,6.2.6,Structure and Nomenclature of Ethers.,True,False,True
Chemistry,Grade 11 ,6,SOME IMPORTANT OXYGEN-CONTAINING ORGANIC COMPOUNDS,6.2.7,Physical Properties of Ethers,True,False,True
Chemistry,Grade 11 ,6,SOME IMPORTANT OXYGEN-CONTAINING ORGANIC COMPOUNDS,6.2.8,Preparation of Ethers,True,False,True
Chemistry,Grade 11 ,6,SOME IMPORTANT OXYGEN-CONTAINING ORGANIC COMPOUNDS,6.2.9,Reactions of Ethers....,True,True,True
Chemistry,Grade 11 ,6,SOME IMPORTANT OXYGEN-CONTAINING ORGANIC COMPOUNDS,6.3,Aldehydes and Ketones,False,True,True
Chemistry,Grade 11 ,6,SOME IMPORTANT OXYGEN-CONTAINING ORGANIC COMPOUNDS,6.3.1,Nomenclature,True,False,True
Chemistry,Grade 11 ,6,SOME IMPORTANT OXYGEN-CONTAINING ORGANIC COMPOUNDS,6.3.2,Physical Properties of Aldehydes and Ketones,True,False,True
Chemistry,Grade 11 ,6,SOME IMPORTANT OXYGEN-CONTAINING ORGANIC COMPOUNDS,6.4,Carboxylic Acids,False,True,True
Chemistry,Grade 11 ,6,SOME IMPORTANT OXYGEN-CONTAINING ORGANIC COMPOUNDS,6.4.1,Structure and Nomenclature of Carboxylic Acids,True,False,True
Chemistry,Grade 11 ,6,SOME IMPORTANT OXYGEN-CONTAINING ORGANIC COMPOUNDS,6.4.2,Physical Properties of Carboxylic Acids....,True,True,True
Chemistry,Grade 11 ,6,SOME IMPORTANT OXYGEN-CONTAINING ORGANIC COMPOUNDS,6.4.3,Chemical Properties of Carboxylic Acids..,True,False,True
Chemistry,Grade 11 ,6,SOME IMPORTANT OXYGEN-CONTAINING ORGANIC COMPOUNDS,6.4.4,Preparation of Carboxylic Acids......,True,True,True
Chemistry,Grade 11 ,6,SOME IMPORTANT OXYGEN-CONTAINING ORGANIC COMPOUNDS,6.4.5,Fatty Acids.,True,True,True
Chemistry,Grade 11 ,6,SOME IMPORTANT OXYGEN-CONTAINING ORGANIC COMPOUNDS,6.4.6,Uses of Carboxylic Acids,True,True,True
Chemistry,Grade 11 ,6,SOME IMPORTANT OXYGEN-CONTAINING ORGANIC COMPOUNDS,6.5,Esters,False,True,True
Chemistry,Grade 11 ,6,SOME IMPORTANT OXYGEN-CONTAINING ORGANIC COMPOUNDS,6.5.1,Sources of Esters..,True,False,True
Chemistry,Grade 11 ,6,SOME IMPORTANT OXYGEN-CONTAINING ORGANIC COMPOUNDS,6.5.2,Nomenclature,True,False,True
Chemistry,Grade 11 ,6,SOME IMPORTANT OXYGEN-CONTAINING ORGANIC COMPOUNDS,6.5.3,Physical Properties,True,False,True
Chemistry,Grade 11 ,6,SOME IMPORTANT OXYGEN-CONTAINING ORGANIC COMPOUNDS,6.5.4,Chemical Properties,True,True,True
Chemistry,Grade 11 ,6,SOME IMPORTANT OXYGEN-CONTAINING ORGANIC COMPOUNDS,6.5.5,Preparation of Esters,True,True,True
Chemistry,Grade 11 ,6,SOME IMPORTANT OXYGEN-CONTAINING ORGANIC COMPOUNDS,6.5.6,Uses of Esters,True,True,True
Chemistry,Grade 11 ,6,SOME IMPORTANT OXYGEN-CONTAINING ORGANIC COMPOUNDS,6.6,Fats and Oils,False,True,False
Chemistry,Grade 11 ,6,SOME IMPORTANT OXYGEN-CONTAINING ORGANIC COMPOUNDS,6.6.1,Source of Fats and Oils,True,False,True
Chemistry,Grade 11 ,6,SOME IMPORTANT OXYGEN-CONTAINING ORGANIC COMPOUNDS,6.6.2,Structure of Fats and Oils,True,False,True
Chemistry,Grade 11 ,6,SOME IMPORTANT OXYGEN-CONTAINING ORGANIC COMPOUNDS,6.6.3,Physical Properties of Fats and Oils,True,True,True
Chemistry,Grade 11 ,6,SOME IMPORTANT OXYGEN-CONTAINING ORGANIC COMPOUNDS,6.6.4,Hardening of Oils,True,False,True
Chemistry,Grade 11 ,6,SOME IMPORTANT OXYGEN-CONTAINING ORGANIC COMPOUNDS,6.6.5,Rancidity....,True,False,True
Chemistry,Grade 12,1,Acid-Base Equilibria,1.1.1,Arrhenius Concept of Acids and Bases,True,True,True
Chemistry,Grade 12,1,Acid-Base Equilibria,1.1.2,Brønsted-Lowry Concept of Acids and Bases,False,True,True
Chemistry,Grade 12,1,Acid-Base Equilibria,1.1.3,Lewis Concept of Acids and Bases..,True,True,True
Chemistry,Grade 12,1,Acid-Base Equilibria,1.2.1,Ionization of Water,True,True,True
Chemistry,Grade 12,1,Acid-Base Equilibria,1.2.2,Measures of the Strength of acids and Bases in Aqueous Solution,True,True,True
Chemistry,Grade 12,1,Acid-Base Equilibria,1.3.1,The Common Ion Effect,True,True,True
Chemistry,Grade 12,1,Acid-Base Equilibria,1.3.2,Buffer Solutions..,True,True,True
Chemistry,Grade 12,1,Acid-Base Equilibria,1.4.1,Hydrolysis of Salts of Strong Acids and Strong Bases,True,True,True
Chemistry,Grade 12,1,Acid-Base Equilibria,1.4.2,Hydrolysis of Salts of Weak Acids and Strong Bases,True,True,True
Chemistry,Grade 12,1,Acid-Base Equilibria,1.4.3,Hydrolysis of Salts of Strong Acids and Weak Bases,True,True,True
Chemistry,Grade 12,1,Acid-Base Equilibria,1.4.4,Hydrolysis of Salts of Weak Acids and Week Bases,True,True,True
Chemistry,Grade 12,1,Acid-Base Equilibria,1.5.1,Acid-Base Indicators,True,True,True
Chemistry,Grade 12,1,Acid-Base Equilibria,1.5.2,Equivalents of Acids and Bases.,True,True,True
Chemistry,Grade 12,1,Acid-Base Equilibria,1.5.3,Acid-Base Titrations...,True,True,True
Chemistry,Grade 12,2,Electrochemistry,2.1.1,Oxidation,True,True,True
Chemistry,Grade 12,2,Electrochemistry,2.1.2,Reduction,True,True,True
Chemistry,Grade 12,2,Electrochemistry,2.1.3,Balancing Oxidation-Reduction (Redox) Reactions...,True,True,True
Chemistry,Grade 12,2,Electrochemistry,2.2.1,Electrolytic Cells,True,True,True
Chemistry,Grade 12,2,Electrochemistry,2.2.2,Preferential Discharge,True,True,True
Chemistry,Grade 12,2,Electrochemistry,2.2.3,Electrolysis of Some Selected Aqueous Solutions......,True,True,True
Chemistry,Grade 12,2,Electrochemistry,2.3.1,Faraday's First Law of Electrolysis,True,True,True
Chemistry,Grade 12,2,Electrochemistry,2.3.2,Faraday's Second Law of Electrolysis..,True,True,True
Chemistry,Grade 12,3,Industrial Chemistry,3.2.1,Natural Resources (Raw Materials).,True,True,True
Chemistry,Grade 12,3,Industrial Chemistry,3.2.2,Industry,True,True,True
Chemistry,Grade 12,3,Industrial Chemistry,3.3.1,Ammonia ($NH_3$),True,True,True
Chemistry,Grade 12,3,Industrial Chemistry,3.3.2,Nitric Acid,True,True,True
Chemistry,Grade 12,3,Industrial Chemistry,3.3.3,Nitrogen-Based Fertilizers,True,True,True
Chemistry,Grade 12,3,Industrial Chemistry,3.3.4,Sulphuric Acid,True,True,True
Chemistry,Grade 12,3,Industrial Chemistry,3.3.5,Some Common Pesticides and Herbicides,True,True,True
Chemistry,Grade 12,3,Industrial Chemistry,3.3.6,Sodium Carbonate,True,True,True
Chemistry,Grade 12,3,Industrial Chemistry,3.3.7,Sodium Hydroxide (NaOH).,True,True,True
Chemistry,Grade 12,3,Industrial Chemistry,3.4,Some Manufacturing Industries in Ethiopia,False,False,True
Chemistry,Grade 12,3,Industrial Chemistry,3.4.1,Glass Manufacturing,True,True,True
Chemistry,Grade 12,3,Industrial Chemistry,3.4.2,Manufacturing of Ceramics,True,True,True
Chemistry,Grade 12,3,Industrial Chemistry,3.4.3,Cement..,True,True,True
Chemistry,Grade 12,3,Industrial Chemistry,3.4.4,Sugar Manufacturing.,True,True,True
Chemistry,Grade 12,3,Industrial Chemistry,3.4.5,Paper and Pulp.,True,True,True
Chemistry,Grade 12,3,Industrial Chemistry,3.4.6,Tannery,True,True,True
Chemistry,Grade 12,3,Industrial Chemistry,3.4.7,Food Processing and Preservation,True,True,True
Chemistry,Grade 12,3,Industrial Chemistry,3.4.8,Manufacturing of Ethanol,True,True,True
Chemistry,Grade 12,3,Industrial Chemistry,3.4.9,Soap and Detergent,True,True,True
Chemistry,Grade 12,5,Introduction to Environmental Chemistry,5.1.1,Components of the Environment,True,True,True
Chemistry,Grade 12,5,Introduction to Environmental Chemistry,5.1.2,Natural Cycles in the Environment.,True,True,True
Chemistry,Grade 12,5,Introduction to Environmental Chemistry,5.1.3,Concepts Related to Environmental Chemistry.........,True,True,True
Chemistry,Grade 12,5,Introduction to Environmental Chemistry,5.2.1,Air Pollution,True,True,True
Chemistry,Grade 12,5,Introduction to Environmental Chemistry,5.2.2,Water Pollution,True,True,True
Chemistry,Grade 12,5,Introduction to Environmental Chemistry,5.2.3,Land Pollution,True,True,True
Chemistry,Grade 12,5,Introduction to Environmental Chemistry,5.3.1,Global Warming and Climate Change,True,True,True
Chemistry,Grade 12,5,Introduction to Environmental Chemistry,5.3.2,Chemistry of Greenhouse Gasses and Their Effects on Climate Change,True,True,True
Chemistry,Grade 12,5,Introduction to Environmental Chemistry,5.4.1,Principle of Green Chemistry..,True,True,True
Chemistry,Grade 12,5,Introduction to Environmental Chemistry,5.4.2,Cleaner Production in Chemistry,True,True,True
Chemistry,Grade 9 ,1,CHEMISTRY AND ITS IMPORTANCE,1.4,Some Common Chemical Industries in Ethiopia,True,False,False
Chemistry,Grade 9 ,1,CHEMISTRY AND ITS IMPORTANCE,Summary,Summary,True,True,True
Chemistry,Grade 9 ,2,MEASUREMENTS AND SCIENTIFIC METHODS,2.2,Chemistry as Experimental Science,False,False,True
Civics/Citizenship,Grade 10 ,1,Democracy and Democratization,1.1,The concept of democracy and democratization,True,True,False
Civics/Citizenship,Grade 10 ,1,Democracy and Democratization,1.2,Definitions and actors of democratization process,True,False,False
Civics/Citizenship,Grade 10 ,1,Democracy and Democratization,1.3,Institutionalizing democracy,True,False,False
Civics/Citizenship,Grade 10 ,1,Democracy and Democratization,1.4,The role of democracy for social transformation,True,False,False
Civics/Citizenship,Grade 10 ,1,Democracy and Democratization,1.5,Democratic values,True,False,False
Civics/Citizenship,Grade 10 ,1,Democracy and Democratization,1.6,Aspects of democracy,True,False,False
Civics/Citizenship,Grade 10 ,2,Citizens in the Digital Technology Age,2.1,Implications of digital technology on citizens,True,False,False
Civics/Citizenship,Grade 10 ,2,Citizens in the Digital Technology Age,2.2,The ethics of using digital technology,True,False,False
Civics/Citizenship,Grade 10 ,2,Citizens in the Digital Technology Age,2.3,Opportunities of digital technology for young citizens,True,False,False
Civics/Citizenship,Grade 10 ,2,Citizens in the Digital Technology Age,2.4,Impacts of unethical use of digital technology on young citizens,True,False,False
Civics/Citizenship,Grade 10 ,3,Understanding Good Governance,3.1,The concept of good governance,True,False,False
Civics/Citizenship,Grade 10 ,3,Understanding Good Governance,3.2,Elements of good governance,True,False,False
Civics/Citizenship,Grade 10 ,3,Understanding Good Governance,3.3,The role of good governance,True,False,False
Civics/Citizenship,Grade 10 ,3,Understanding Good Governance,3.4,Challenges for good governance,True,False,False
Civics/Citizenship,Grade 10 ,3,Understanding Good Governance,3.5,Impacts of lack of good governance,True,False,False
Civics/Citizenship,Grade 10 ,3,Understanding Good Governance,3.6,Understanding and fighting corruption,True,False,False
Civics/Citizenship,Grade 10 ,4,Peace and Indigenous Conflict Resolution Mechanisms,4.1,The concepts of peace,True,False,False
Civics/Citizenship,Grade 10 ,4,Peace and Indigenous Conflict Resolution Mechanisms,4.2,Impacts of absence of peace,True,False,False
Civics/Citizenship,Grade 10 ,4,Peace and Indigenous Conflict Resolution Mechanisms,4.3,The notion of peace building,True,False,False
Civics/Citizenship,Grade 10 ,4,Peace and Indigenous Conflict Resolution Mechanisms,4.4,Indigenous conflict resolution mechanisms,True,False,False
Civics/Citizenship,Grade 10 ,4,Peace and Indigenous Conflict Resolution Mechanisms,4.5,The roles of indigenous social institutions in ensuring sustainable peace,True,False,False
Civics/Citizenship,Grade 10 ,5,Federalism in Ethiopia,5.1,The meaning of federalism,True,False,False
Civics/Citizenship,Grade 10 ,5,Federalism in Ethiopia,5.2,Types of federalism,True,False,False
Civics/Citizenship,Grade 10 ,5,Federalism in Ethiopia,5.3,Key features of federalism,True,False,False
Civics/Citizenship,Grade 10 ,5,Federalism in Ethiopia,5.4,Advantage and disadvantage of federalism,True,False,False
Civics/Citizenship,Grade 10 ,5,Federalism in Ethiopia,5.5,The roles of federalism in accommodating diversity in Ethiopia,True,False,False
Civics/Citizenship,Grade 10 ,6,Human Rights,6.1,The concept of human right,True,False,True
Civics/Citizenship,Grade 10 ,6,Human Rights,6.2,Citizens and state obligations in realizing human rights,True,False,False
Civics/Citizenship,Grade 10 ,7,Patriotism,7.1,The meaning of patriotism,True,False,False
Civics/Citizenship,Grade 10 ,7,Patriotism,7.2,Types of patriotism,True,False,False
Civics/Citizenship,Grade 10 ,7,Patriotism,7.3,The bases of patriotism,True,False,False
Civics/Citizenship,Grade 10 ,7,Patriotism,7.4,The importance of patriotism,True,False,False
Civics/Citizenship,Grade 10 ,7,Patriotism,7.5,Duties expected of patriots,True,False,True
Civics/Citizenship,Grade 10 ,8,Globalization and Global Issues,8.1,The meaning of globalization,True,False,False
Civics/Citizenship,Grade 10 ,8,Globalization and Global Issues,8.2,Advantages and disadvantages of globalization,True,False,False
Civics/Citizenship,Grade 10 ,8,Globalization and Global Issues,8.3,Fighting the negative impact of globalization,True,False,True
Civics/Citizenship,Grade 10 ,8,Globalization and Global Issues,8.4,Major global issues,True,False,False
Civics/Citizenship,Grade 9 ,1,ETHICAL VALUES,1.1,The meaning of ethics,True,False,True
Civics/Citizenship,Grade 9 ,1,ETHICAL VALUES,1.2,Major ethical values,True,False,True
Civics/Citizenship,Grade 9 ,1,ETHICAL VALUES,1.3,The importance of ethical values of citizens,True,False,True
Civics/Citizenship,Grade 9 ,1,ETHICAL VALUES,1.4,Aspects of applied ethics,True,False,True
Civics/Citizenship,Grade 9 ,2,THE CULTURE OF USING DIGITAL TECHNOLOGY,2.1,The concept of digital technology,True,False,True
Civics/Citizenship,Grade 9 ,2,THE CULTURE OF USING DIGITAL TECHNOLOGY,2.2,Culture and digital technology,True,False,True
Civics/Citizenship,Grade 9 ,2,THE CULTURE OF USING DIGITAL TECHNOLOGY,2.3,The Purpose of digital technology,True,False,True
Civics/Citizenship,Grade 9 ,2,THE CULTURE OF USING DIGITAL TECHNOLOGY,2.4,Codes of conduct for using digital technology,True,False,True
Civics/Citizenship,Grade 9 ,2,THE CULTURE OF USING DIGITAL TECHNOLOGY,2.5,Effective communication through digital media,True,False,True
Civics/Citizenship,Grade 9 ,2,THE CULTURE OF USING DIGITAL TECHNOLOGY,2.6,Challenges of using digital media,True,False,True
Civics/Citizenship,Grade 9 ,3,CONSTITUTION AND CONSTITUTIONALISM,3.1,Understanding constitution,True,False,True
Civics/Citizenship,Grade 9 ,3,CONSTITUTION AND CONSTITUTIONALISM,3.2,Understanding constitutionalism,True,False,True
Civics/Citizenship,Grade 9 ,3,CONSTITUTION AND CONSTITUTIONALISM,3.3,Constitutional experiences of Ethiopia,True,False,True
Civics/Citizenship,Grade 9 ,4,UNDERSTANDING INDIGENOUS KNOWLEDGE,4.1,The concept of indigenous knowledge,True,False,True
Civics/Citizenship,Grade 9 ,4,UNDERSTANDING INDIGENOUS KNOWLEDGE,4.2,The role of indigenous knowledge in producing responsible citizens,True,False,True
Civics/Citizenship,Grade 9 ,4,UNDERSTANDING INDIGENOUS KNOWLEDGE,4.3,The role of indigenous social institutions in solving problems of communities,True,False,True
Civics/Citizenship,Grade 9 ,5,MULTICULTURALISM IN ETHIOPIA,5.1,Understanding culture,True,False,True
